,property_type,area_sqft,non_landed,bedrooms,price,state,area,median_psf,median_price,nearby_poi_education,nearby_poi_transportation,nearby_poi_healthcare
14,Terrace House,0.06175895765472312,0,0.42857142857142855,480000,Kuala Lumpur,Bandar Menjalara,0.2891859052247873,0.08181818181818182,0.3235294117647059,0.21428571428571427,0.2
15,Condominium/Apartment,0.0869055374592834,1,0.42857142857142855,375000,Kuala Lumpur,Cheras,0.20595382746051033,0.0506993006993007,0.6470588235294117,0.38095238095238093,0.5333333333333333
16,Condominium/Apartment,0.09250814332247556,1,0.42857142857142855,450000,Kuala Lumpur,Cheras,0.20595382746051033,0.0506993006993007,0.6470588235294117,0.38095238095238093,0.5333333333333333
17,Condominium/Apartment,0.1332899022801303,1,0.42857142857142855,600000,Kuala Lumpur,Mont Kiara,0.2223572296476306,0.07342657342657342,0.3235294117647059,0.09523809523809523,0.2
18,Condominium/Apartment,0.1332899022801303,1,0.42857142857142855,550000,Kuala Lumpur,Mont Kiara,0.2223572296476306,0.07342657342657342,0.3235294117647059,0.09523809523809523,0.2
19,Condominium/Apartment,0.20052117263843647,1,0.2857142857142857,1960000,Kuala Lumpur,Bangsar,0.603280680437424,0.20524475524475524,0.35294117647058826,0.26190476190476186,0.2
20,Condominium/Apartment,0.08000000000000002,1,0.42857142857142855,1075000,Kuala Lumpur,Bangsar,0.603280680437424,0.20524475524475524,0.35294117647058826,0.26190476190476186,0.2
21,Terrace House,0.17667752442996743,0,0.42857142857142855,770000,Kuala Lumpur,Kepong,0.24058323207776425,0.10279720279720281,0.3333333333333333,0.21428571428571427,0.13333333333333333
22,Terrace House,0.19074918566775242,0,0.42857142857142855,800000,Kuala Lumpur,Kepong,0.24058323207776425,0.10279720279720281,0.3333333333333333,0.21428571428571427,0.13333333333333333
23,Terrace House,0.15570032573289902,0,0.5714285714285714,743000,Kuala Lumpur,Taman OUG,0.3007290400972053,0.11384615384615385,0.303921568627451,0.21428571428571427,0.13333333333333333
24,Terrace House,0.16130293159609121,0,0.42857142857142855,985000,Kuala Lumpur,Taman OUG,0.3007290400972053,0.11384615384615385,0.303921568627451,0.21428571428571427,0.13333333333333333
25,Condominium/Apartment,0.12208469055374593,1,0.2857142857142857,660000,Kuala Lumpur,Sentul,0.2648845686512758,0.08181818181818182,0.6666666666666666,0.5238095238095237,1.0
26,Condominium/Apartment,0.12208469055374593,1,0.5714285714285714,610000,Kuala Lumpur,Sentul,0.2648845686512758,0.08181818181818182,0.6666666666666666,0.5238095238095237,1.0
27,Condominium/Apartment,0.05889250814332247,1,0.2857142857142857,100000,Kuala Lumpur,Brickfields,0.04860267314702307,0.006993006993006993,0.5490196078431372,0.5714285714285714,0.3333333333333333
28,Terrace House,0.2525081433224755,0,0.42857142857142855,1100000,Kuala Lumpur,Bandar Baru Sri Petaling,0.2630619684082624,0.14685314685314685,0.29411764705882354,0.19047619047619047,0.06666666666666667
29,Condominium/Apartment,0.15153094462540717,1,0.2857142857142857,900000,Kuala Lumpur,Bangsar,0.32624544349939244,0.1188811188811189,0.39215686274509803,0.30952380952380953,0.26666666666666666
30,Condominium/Apartment,0.09250814332247556,1,0.42857142857142855,300000,Kuala Lumpur,Pudu,0.14094775212636695,0.03496503496503497,0.9999999999999999,0.9523809523809523,0.6
31,Hotel/Service Apartment,0.05889250814332247,1,0.14285714285714285,234225,Kuala Lumpur,Bangsar South,0.1433778857837181,0.025765734265734266,0.45098039215686275,0.2857142857142857,0.4
32,Hotel/Service Apartment,0.0,1,0.2857142857142857,300000,Kuala Lumpur,Pudu,0.4234507897934386,0.03496503496503497,0.9705882352941176,1.0,0.4
33,Terrace House,0.2482084690553746,0,0.5714285714285714,1650000,Kuala Lumpur,Damansara,0.4113001215066828,0.22377622377622378,0.27450980392156865,0.047619047619047616,0.13333333333333333
34,Flat,0.03791530944625408,1,0.42857142857142855,199000,Kuala Lumpur,Setapak,0.15066828675577157,0.02083916083916084,0.5294117647058824,0.07142857142857142,0.26666666666666666
35,Terrace House,0.3983061889250814,0,0.5714285714285714,1910000,Kuala Lumpur,Taman Melawati,0.31287970838396106,0.2601398601398602,0.3627450980392157,0.09523809523809523,0.13333333333333333
