,project_id,latitude,longitude,project_name,state,area,street_name,median_psf,median_price
83,11769,3.07075,101.57800300000001,SS 19 Subang Jaya,Selangor,Subang Jaya,JALAN SS 19/4E,456,1695000
84,15193,3.154346,101.593521,Strand Residensi,Selangor,Kota Damansara,JALAN PJU 5/23,670,767500
85,23628,2.7994774,101.71033320000001,Taman Indah Puteri,Selangor,Sepang,JALAN IP 28,146,468060
86,28531,0.0,0.0,Taman Sri Pelangi,Selangor,,JALAN SUNGAI RABA,285,438800
87,8835,3.08712,101.439003,Bandar Bukit Raja,Selangor,Bandar Bukit Raja,JALAN NGAJAT 3/KU5,441,665000
88,14042,2.8240546,101.56711170000001,Bandar Mahkota Banting (Brooklands),Selangor,Banting,JALAN ANGKASA,203,335000
89,8873,2.90275,101.79499799999999,Bangi Avenue,Selangor,Bangi,JALAN BANGI AVENUE 6/10,376,490000
90,9233,3.06765,101.792999,Cheras Vista,Selangor,Cheras South,JALAN VISTA 3/1A,450,693000
91,14151,2.92455,101.639,Cyberia SmartHome,Selangor,Cyberjaya,PERSIARAN MULTIMEDIA,353,322896
92,9435,3.1552599999999997,101.514999,Denai Alam,Selangor,Denai Alam,JALAN 2A,209,230000
93,9470,2.99689,101.593002,Desa Impiana Taman Puchong Prima,Selangor,Puchong,JALAN PRIMA UTAMA,306,320000
94,23964,3.1851107000000005,101.5057518,Elmina West @ Denai Alam,Selangor,Shah Alam,JALAN METAFASA U16/161,493,690000
95,15080,3.1574791,101.7639676,Hillside Estate,Selangor,Ampang,JALAN HILLSIDE ESTATE,283,499000
96,9867,3.190185,101.59181,Idaman Apartment,Selangor,Damansara Damai,JALAN PJU 10/1,93,60000
97,9886,3.10137,101.55100300000001,Ilham Apartment TTDI Jaya,Selangor,Taman TTDI Jaya,JALAN SASTERA U2/1,286,225000
98,9895,3.06203,101.595001,IMPIAN MERIDIAN,Selangor,USJ,JALAN SUBANG 1,394,500000
99,16989,2.9374781000000003,101.6336855,Isle of Kamares Setia Eco Glades,Selangor,Cyberjaya,JALAN TIOMAN 3,352,565000
100,15724,3.107155,101.592894,Kelana D'Putera,Selangor,Kelana Jaya,JALAN SS 7/26,398,458000
101,10167,3.0093799999999997,101.615997,Koi Tropika,Selangor,Bandar Puteri Puchong,JALAN PUCHONG BATU 13 1/2,384,380000
102,10919,2.91201,101.667999,Mirage By The Lake @ Perdana Lakeview West,Selangor,Cyberjaya,JALAN MIRAGE 2,902,912800
103,10789,3.06696,101.610001,Palmville,Selangor,Bandar Sunway,JALAN LAGOON TIMUR,459,800000
104,8643,0.0,0.0,Pangsapuri PKNS SS3,Selangor,Kelana Jaya,JALAN SS 3/39,216,130000
105,14779,3.029044,101.711563,Perdana Selatan,Selangor,Seri Kembangan,PERDANA SELATAN,391,400000
106,15892,2.9581880000000003,101.791217,Pusat Perhentian Kajang,Selangor,Kajang,JALAN HENTIAN 5,111,80000
107,11310,3.0153,101.789001,Saujana Impian,Selangor,Kajang,JALAN IMPIAN MURNI 3/9,454,450000
108,11355,3.10653,101.652,Section 10 Petaling Jaya,Selangor,Petaling Jaya,JALAN 10/10A,341,550000
109,22714,2.9901657999999998,101.5069093,Seksyen 32 Shah Alam,Selangor,Shah Alam,JALAN SUNGAI LONG 32/155,325,385000
110,17114,2.973561,101.651042,Sierra 1 Odora Parkhomes,Selangor,Puchong South,JALAN SIERRA 1/3,285,529900
111,13978,3.136405,101.626003,SS 20 Damansara Utama,Selangor,Damansara Utama,JALAN SS 20/16,607,1000000
