,name,category,latitude,longitude
4380,KUIS - Selangor International Islamic University College,education,2.891338,101.788217
4381,Brainy Bunch  - Putra Mahkota Bangi,education,2.8867974,101.7904872
4382,Sekolah Kebangsaan Rinching Hilir,education,2.9013880000000003,101.813872
4383,Sekolah Menengah Kebangsaan Bandar Seri Putra,education,2.887744,101.783331
4384,Universiti Kebangsaan Malaysia (Ukm),education,2.91984,101.780868
4385,Sekolah Kebangsaan Bandar Seri Putra,education,2.889831,101.775401
4386,Klinik Desa Bangi Lama,healthcare,2.902257,101.778374
4387,Klinik Desa Rinching Hilir,healthcare,2.9015299999999997,101.81258000000001
4388,Bangi,transportation,2.9041667,101.78611109999999
4389,Sekolah Kebangsaan Bukit Raya,education,3.073055,101.78162900000001
4390,Sekolah Menengah Kebangsaan Dusun Nanding,education,3.08224,101.790503
4391,Sekolah Kebangsaan Dusun Nanding,education,3.0831619999999997,101.791043
4392,Brainy Bunch - Bandar Mahkota Cheras (new),education,3.0519057000000003,101.7902063
4393,Sekolah Menengah Kebangsaan Bandar Baru Sungai Long,education,3.052821,101.801833
4394,AMU - Asia Metropolitan University,education,3.077816,101.778104
4395,Beaconhouse International School - Newlands Campus,education,3.065514,101.77470699999999
4396,Sekolah Jenis Kebangsaan (Cina) Bandar Sungai Long,education,3.051739,101.803314
4398,Sekolah Kebangsaan Sungai Serai,education,3.087726,101.790109
4404,Bandar Tun Hussein Onn,transportation,3.048115,101.77504
4405,MMU - Multimedia University,education,2.9275740000000003,101.64224
4406,King Henry VIII College,education,2.9222215,101.63448129999999
4407,Sekolah Menengah Kebangsaan Cyberjaya,education,2.919294,101.63946700000001
4408,Sekolah Kebangsaan Cyberjaya,education,2.919236,101.63838299999999
4409,CUCMS - Cyberjaya University College of Medical Sciences,education,2.9310009999999997,101.637854
4410,elc International School - Cyberjaya Campus,education,2.926963,101.6467828
4411,Brainy Bunch - Cyberjaya,education,2.925082,101.655988
4412,The children's house - Cyberjaya,education,2.9229,101.6607
4413,Sekolah Kebangsaan Taman Putra Perdana,education,2.940266,101.621234
4414,Sekolah Menengah Kebangsaan Putra Perdana,education,2.944004,101.62207099999999
4415,Brainy Bunch - Denai Alam (new),education,3.1616,101.5112
4416,REAL Schools Shah Alam,education,3.147775,101.516921
4417,REAL International School - Shah Alam,education,3.147775,101.516921
4418,Sekolah Menengah Kebangsaan Subang,education,3.151857,101.528276
4419,Sekolah Jenis Kebangsaan (Tamil) Ldg Rasak,education,3.170398,101.509855
4420,Sekolah Kebangsaan Taman Bukit Subang,education,3.1719180000000002,101.513598
4421,Sekolah Kebangsaan Subang,education,3.151813,101.531673
4422,Sekolah Jenis Kebangsaan (Cina) Subang,education,3.1434919999999997,101.534764
4423,Sekolah Kebangsaan Puncak Perdana,education,3.141422,101.49638900000001
4424,Klinik Desa Kampung Melayu Subang,healthcare,3.151681,101.533048
4425,Klinik Pakar Wanita & Bersalin Subang Permai,healthcare,3.1395809,101.52619200000001
4426,Sekolah Menengah Kebangsaan Puchong Permai,education,2.995003,101.595826
4427,Sekolah Menengah Kebangsaan Puchong Perdana,education,3.005112,101.600236
4428,Sekolah Kebangsaan Puchong Perdana,education,3.004802,101.60177
4429,Kingsley International School,education,3.0062142000000005,101.5783114
4430,Genius Aulad,education,2.980702,101.603513
4431,Sekolah Kebangsaan Puchong Indah,education,3.010969,101.606534
4432,Sekolah Kebangsaan Puchong Utama,education,2.989375,101.611361
4433,Sekolah Kebangsaan Puchong Utama 3,education,3.000973,101.61296999999999
4434,Sekolah Menengah Kebangsaan Puchong Utama (1),education,2.98387,101.610563
4435,Brainy Bunch -  Puchong Utama,education,2.9925,101.6156
4436,Sekolah Kebangsaan Puchong Utama 2,education,2.9816700000000003,101.613049
4437,Sekolah Menengah Kebangsaan USJ 23,education,3.01917,101.580549
4438,Sekolah Kebangsaan Alam Megah Dua,education,3.0100830000000003,101.570763
4439,Sekolah Kebangsaan Alam Megah (3),education,3.002773,101.56774300000001
4440,Klinik Desa Batu 13 1/2,healthcare,3.02085,101.59255
4441,Pusat Pakar Wanita & Bersalin Mutiara,healthcare,3.0113,101.614273
4442,Puchong Prima,transportation,2.999566,101.59660600000001
4443,Putra Heights,transportation,2.996208,101.577207
4444,Puchong Perdana,transportation,3.009081,101.607759
4445,Subang Alam,transportation,3.008408,101.57229
4449,Sam Paya Jaras,education,3.209359,101.502504
4456,Sekolah Kebangsaan Taman Bukit Indah,education,3.1558330000000003,101.775553
4457,Sekolah Menengah Kebangsaan Taman Kosas,education,3.1481779999999997,101.772171
4459,Sekolah Menengah Kebangsaan Bukit Indah,education,3.155423,101.776753
4460,Sekolah Kebangsaan Taman Kosas,education,3.1481630000000003,101.773833
4468,Sekolah Menengah Kebangsaan Bandar Baru Ampang,education,3.13692,101.768273
4471,Sekolah Kebangsaan Ampang Campuran,education,3.132981,101.767877
4482,Sekolah Menengah Kebangsaan Damansara Damai 1,education,3.191547,101.592321
4483,Sekolah Kebangsaan Damansara Damai 1,education,3.193696,101.592722
4484,Sekolah Kebangsaan Damansara Damai 2,education,3.192638,101.583835
4489,IGB International School (IGBIS),education,3.20434,101.587239
4492,Sekolah Menengah Kebangsaan Seksyen 8 Kota Damansara,education,3.177869,101.579193
4496,elc International School - Sungai Buloh Campus,education,3.207624,101.581453
4497,Sekolah Jenis Kebangsaan (Tamil) Saraswathy,education,3.208286,101.577083
4498,Sekolah Jenis Kebangsaan (Cina) Sungai Buloh,education,3.195002778,101.5687528
4505,Brainy Bunch  - Sungai Buloh,education,3.2085,101.573
4506,Sekolah Menengah Kebangsaan Sierramas,education,3.214314,101.580205
4507,Pusat Perubatan Damansara Damai,healthcare,3.199248,101.59335
4508,Hospital Bersalin & Poliklinik Pusrawi Corporation Sdn. Bhd. Kota Damansara,healthcare,3.17519,101.5746599
4509,Damansara Damai,transportation,3.199682,101.593379
4510,Kampung Selamat,transportation,3.197163,101.57839
4512,Sungai Buloh,transportation,3.2062470000000003,101.581744
4513,Sungai Buloh,transportation,3.2061111,101.5797222
4514,Kwasa Damansara,transportation,3.1763169999999996,101.572479
4515,Brainy Bunch - TTDI Jaya,education,3.1019,101.5516
4516,Sekolah Menengah Kebangsaan Ttdi Jaya,education,3.104725,101.554715
4517,Sekolah Kebangsaan Taman Tun Dr Ismail Jaya,education,3.106402,101.557458
4518,Sekolah Jenis Kebangsaan (Tamil) Ldg Glenmarie,education,3.10086,101.560154
4519,KDU University College,education,3.092963,101.559823
4520,Sekolah Seni Malaysia Kuala Lumpur,education,3.1117169999999996,101.540084
4521,Sekolah Menengah Kebangsaan Shah Alam,education,3.1117169999999996,101.540084
4522,Sekolah Kebangsaan Bukit Jelutong,education,3.106663,101.531193
4523,Sekolah Kebangsaan Tudm Subang,education,3.118788,101.540187
4524,Sekolah Menengah Kebangsaan Bukit Jelutong,education,3.109003,101.53147299999999
4525,Sekolah Kebangsaan Seksyen 13,education,3.0832900000000003,101.538545
4526,Greenview Islamic School,education,3.1031,101.5281
4528,Ara Damansara Medical Centre,healthcare,3.1148689999999997,101.565427
4529,Hospital Umra,healthcare,3.0828888,101.53998229999999
4530,Malawati @ Stadium,transportation,3.079349,101.54973199999999
4551,Sekolah Jenis Kebangsaan (Cina) Chee Wen,education,3.050303,101.60301
4556,Sekolah Menengah Kebangsaan USJ 8,education,3.0453900000000003,101.591915
4559,Sekolah Kebangsaan Seafield 3,education,3.043786,101.591931
4560,The One Academy,education,3.0735259999999998,101.610037
4565,Taylor's University,education,3.0645279999999997,101.615895
4567,Sekolah Kebangsaan Kampung Lindungan,education,3.080854,101.607168
4568,Sekolah Kebangsaan Bandar Sunway,education,3.068343,101.617323
4569,Sekolah Menengah Kebangsaan Bandar Sunway,education,3.070252,101.617425
4570,Malvern International Academy,education,3.077794,101.613302
4572,Sekolah Kebangsaan Dato' Onn Jaafar,education,3.036987,101.589455
4573,Sri Emas International School,education,3.0842085,101.6083431
4574,Sekolah Jenis Kebangsaan (Cina) Tun Tan Cheng Lock,education,3.036407,101.58975600000001
4576,Sunway Medical Centre Sendirian Berhad,healthcare,3.0662171000000003,101.6095502
4584,Sunmed,transportation,3.065651,101.609825
4586,Lagoon,transportation,3.0706919999999998,101.61075
4588,Mentari,transportation,3.0759849999999997,101.61005899999999
4591,Setia Jaya,transportation,3.0830556000000002,101.61111109999999
4600,Sekolah Kebangsaan Taman Putra Perdana 2,education,2.9405,101.611088
4602,Klinik Desa Pulau Meranti,healthcare,2.955172,101.62508000000001
4603,Cyberjaya North,transportation,2.950009,101.65718100000001
4604,Sekolah Menengah Kebangsaan Kelana Jaya,education,3.1077529999999998,101.59705799999999
4605,Cherie Hearts International Preschool - Ara Damansara,education,3.1131919999999997,101.591482
4606,Vision College,education,3.106225,101.59973199999999
4607,Life College Malaysia,education,3.113734,101.589805
4608,Allied Aeronautics Training Centre,education,3.11396,101.590265
4609,UNITAR International University,education,3.100319,101.600216
4610,Lincoln University College (LUC),education,3.094839,101.59281800000001
4611,Nobel International School,education,3.1058,101.6067
4612,Japanese School Kuala Lumpur,education,3.109469,101.57856
4613,Sekolah Kebangsaan Lembah Subang,education,3.1153150000000003,101.58076
4614,Sekolah Menengah Kebangsaan Lembah Subang,education,3.114712,101.580152
4615,Sekolah Kebangsaan Kelana Jaya (1),education,3.105271,101.607623
4616,Sekolah Kebangsaan Kelana Jaya (2),education,3.105779,101.607784
4617,Sekolah Kebangsaan Sri Kelana,education,3.098663,101.60584300000001
4618,Sekolah Kebangsaan Taman Megah,education,3.116173,101.60679300000001
4619,Sekolah Jenis Kebangsaan (Cina) Yuk Chai,education,3.117208,101.60700600000001
4620,The children's house - Ara Damansara,education,3.1148184,101.574914
4621,Sekolah Menengah Kebangsaan Sri Permata,education,3.102434,101.613541
4623,Sekolah Jenis Kebangsaan (Tamil) Seaport,education,3.087104,101.60503
4625,Sekolah Menengah Kebangsaan Taman Sea,education,3.110415,101.616569
4627,Kelana Jaya Medical Centre Sdn Bhd,healthcare,3.1086814,101.5952646
4628,Kelana Indah @ Persada Plus,transportation,3.1072130000000002,101.59135699999999
4629,Lembah Subang,transportation,3.111935,101.591538
4630,Ara Damansara,transportation,3.1084560000000003,101.586632
4631,Glenmarie,transportation,3.095338,101.590422
4632,Glenmarie,transportation,3.095637,101.588564
4633,Kelana Jaya,transportation,3.1128607999999995,101.6050541
4634,Dataran Prima,transportation,3.121734,101.593912
4635,Taman Bahagia,transportation,3.11079,101.61285600000001
4639,Sekolah Jenis Kebangsaan (Tamil) Puchong,education,3.001541,101.621509
