project_id,asset_id,latitude,longitude,project_name,state,area,street_name,transaction_count,median_psf,median_price
17342,267469.0,5.2802865,100.5081614,Taman Pekatra Indah,Penang,Simpang Ampat,LORONG PEKATRA INDAH 25,52,141.0,191325
27966,,5.2777991,100.4902485,Pearl Tropika,Penang,Simpang Ampat,LORONG 2/SS9,51,300.0,634569
12724,265223.0,5.349887,100.293891,Taman Pekaka,Penang,Sungai Dua (Island),SOLOK PEKAKA,51,380.0,399118
17743,267795.0,5.357858,100.295982,White Lily - Minden Heights,Penang,Gelugor,LEBUH MINDEN 4,9,838.0,1132000
27987,,5.3991316,100.3750404,Woodsbury Suites,Penang,Butterworth,JALAN ASSUMPTION,9,482.0,379700
9842,264353.0,5.3554234,100.4679829,Bandar Bukit Mertajam,Penang,Bukit Mertajam,JALAN CHOW BOON KHYE,8,132.0,199375
8916,3314.0,5.334430218,100.3079987,BayStar,Penang,Sungai Nibong,PERSIARAN BAYAN INDAH 1,8,677.0,1347500
8922,264112.0,5.47991991,100.2570038,Bayu Ferringhi,Penang,Batu Ferringhi,JALAN BAYU 1,8,715.0,2247500
9132,3529.0,5.395160198,100.3119965,Casa Impian,Penang,Jelutong,JALAN OOI THIEM SIEW,8,488.0,340875
9259,264230.0,5.459599972,100.2829971,Concord Garden,Penang,Tanjung Bungah,JALAN SAM AH CHOW,8,500.0,642500
9438,3782.0,5.351349831,100.3000031,Desa Airmas,Penang,Sungai Dua (Island),JALAN HELANG,8,552.0,540125
17473,267308.0,5.400323,100.284753,Flat Kampung Melayu,Penang,Ayer Itam,JALAN KAMPUNG MELAYU,8,91.0,37500
9882,4226.0,5.35902977,100.2939987,Ideal Regency,Penang,Gelugor,JALAN BUKIT GAMBIER,8,498.0,652500
10175,4517.0,5.403490067,100.3190002,Kota Emas,Penang,Sungai Pinang,LORONG SEREMBAN,8,469.0,327500
10625,4966.0,5.434860229,100.3119965,Mutiara Gurney,Penang,Persiaran Gurney,LORONG KELAWAI,8,946.0,1100000
10631,4972.0,5.373839855,100.2949982,Mutiara Indah Apartment,Penang,Gelugor,CANGKAT BUKIT GAMBIR,8,422.0,366250
16052,10385.0,5.432243,100.392889,Pangsapuri Taman Dedap,Penang,Butterworth,LORONG DEDAP 6,8,202.0,204350
16079,10412.0,5.375387,100.401257,Perai Jaya Flat,Penang,Seberang Perai,JALAN PERAI JAYA 3,8,67.0,39156
11206,5544.0,5.371478,100.297664,Raffel Tower,Penang,Gelugor,LORONG PERMAI 7,8,642.0,936500
11232,5570.0,5.3319832,100.2801611,Relau Indah Condominium,Penang,Bukit Jambul,PERSIARAN BUKIT JAMBUL 1,8,382.0,303875
11606,264824.0,5.284130096,100.2839966,Southbay Residence,Penang,Batu Maung,JALAN SOUTHBAY 1,8,730.0,1317250
25798,414915.0,5.32486,100.277674,Sunway Bayan,Penang,Bayan Baru,PERSIARAN MAHSURI 2/4,8,518.0,814375
11858,264879.0,5.3582201,100.2900009,Sunway Bukit Gambier,Penang,Gelugor,HALAMAN BUKIT GAMBIER 9,8,840.0,1341500
17351,267477.0,5.3234988,100.4938369,Taman Alma Indah,Penang,Alma,LORONG ALMA INDAH 1,8,195.0,718625
17592,267663.0,5.344096,100.472617,Taman B,Penang,Alma,LORONG MUHIBBAH,8,347.0,270375
9348,287381.0,5.2350504,100.4887369,Taman Beduk Indah,Penang,Sungai Bakap,LORONG BEDUK INDAH 1,8,271.0,531375
12090,264967.0,5.353300095,100.4570007,Taman Bukit Kecil,Penang,Bukit Mertajam,LORONG BUKIT KECIL 8,8,207.0,605625
12150,264992.0,5.410449982,100.2809982,Taman Cantik,Penang,Penang Hill,LORONG TAMAN CANTEK 4,8,261.0,457500
17591,267662.0,5.437646,100.396041,Taman Cengal,Penang,Butterworth,LINTANG CENGAL,8,285.0,460007
