,project_id,latitude,longitude,township,state,area,median_psf,median_price,poi_nearby_education,poi_nearby_transportation,poi_nearby_healthcare,nearest_school,nearest_train_station,nearest_hospital,total_poi_nearby,nearest_poi,transaction_count
6291,23485,2.9717458,101.6342294,Abadi Heights,Selangor,Puchong South,491.5,858800.0,11,1,1,1181.067967087679,2391.2180022059883,4904.280626529094,13,1181.067967087679,72
6292,13962,3.196135,101.58989,Apartment Permai,Selangor,Damansara Damai,295.0,200000.0,22,6,4,414.50909105548175,551.5607604625917,516.1270511137966,32,414.50909105548175,68
6293,10047,3.12516,101.771004,Pangsapuri Kampung Tasik Tambahan,Selangor,Ampang,310.0,300000.0,23,4,3,306.9657508811791,2338.7906734270514,914.8947888941624,30,306.9657508811791,71
6294,12502,2.98971,101.661003,Taman Kota Perdana,Selangor,Puchong South,144.5,425000.0,15,3,0,1582.3127243365593,691.125372709681,5716.056677505809,18,691.125372709681,68
6295,28404,2.805963,101.6624275,Taman Langat Utama 3,Selangor,Banting,184.0,260000.0,1,0,0,591.1907624519653,6031.653483441664,12325.79760690999,1,591.1907624519653,71
6296,9161,3.13739,101.59415,Casa Tropicana,Selangor,Tropicana,566.0,638000.0,41,10,1,286.65049152763794,1347.27296638261,2153.4309897409257,52,286.65049152763794,67
6297,10796,3.13024,101.764,"Pandan Court, Taman Pandan Mewah",Selangor,Pandan Indah,223.0,168000.0,28,5,3,417.5344776146381,1408.5496072696308,228.23013379219748,36,228.23013379219748,69
6298,23434,3.042499,101.441963,Pusat Perniagaan Raya Barat,Selangor,Klang,245.5,235000.0,42,8,11,167.43426386020664,555.1573601713834,468.29041639950935,61,167.43426386020664,2
6299,14540,2.9548429,101.7854165,Residensi Melor,Selangor,Bangi,341.5,257500.0,20,1,1,764.9293253103451,1719.702372740493,2717.4746516429504,22,764.9293253103451,2
6300,28357,0.0,0.0,Rumah Murah Permatang Pasir,Selangor,,71.0,100000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6301,29073,2.996303,101.8036866,Rumah Murah PKNS Batu 6 (Bangi Lama),Selangor,Bangi,111.0,165000.0,26,4,3,821.2482311996121,1967.3315442866458,1259.9232144397015,33,821.2482311996121,2
6302,22651,2.9412523,101.751269,"Section 12, Bandar Baru Bangi",Selangor,Bangi,279.0,390000.0,9,0,4,313.69970611971246,4052.403737305123,2086.5641340041775,13,313.69970611971246,2
6303,11406,3.09629,101.642998,"Section 7, Petaling Jaya",Selangor,Petaling Jaya,405.5,4365000.0,55,8,4,344.4189025958064,868.8804635154429,416.08157343604546,67,344.4189025958064,2
6304,16244,3.043395,101.701705,Serdang Raya Court,Selangor,Seri Kembangan,304.0,229000.0,20,7,1,1020.1567850835356,1775.1390352428625,6401.331299649867,28,1020.1567850835356,1
6305,16250,2.993077,101.492236,Seri Ayu Apartment,Selangor,Klang,141.0,91000.0,4,0,2,1613.241125267825,4125.20280326222,1739.0024535253474,6,1613.241125267825,2
6306,11155,3.00336,101.628998,Seri Puteri Hills @ Bandar Puteri Puchong,Selangor,Bandar Puteri Puchong,576.5,980000.0,16,3,3,856.4880408247092,2359.3503096427603,1857.5303984947159,22,856.4880408247092,2
6307,11546,3.1819,101.766998,Siarah Oakleaf,Selangor,Ulu Kelang,425.5,1575000.0,19,0,2,1233.5396463361014,3547.819936457409,2975.430676140632,21,1233.5396463361014,2
6308,27810,0.0,0.0,SKC Kampung Timah,Selangor,Hulu Selangor,24.5,75000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6309,11612,3.07235,101.602997,Spectrum Apartment,Selangor,Keramat,292.0,295000.0,41,15,2,462.7482065414357,829.7368375532835,995.2661934464192,58,462.7482065414357,2
6310,28563,3.128421,101.8187772,Sungai Semungkis,Selangor,Hulu Langat,119.5,580000.0,3,0,1,1149.7929781091543,6782.960169214265,6157.903741726178,4,1149.7929781091543,2
6311,28558,3.0911743,101.7872966,Sungai Serai,Selangor,Hulu Langat,32.0,415272.0,10,0,0,493.0782448139103,3431.41146054552,4710.341054373661,10,493.0782448139103,2
6312,11904,3.08037,101.776001,Suria Residen,Selangor,Batu 9th Cheras,321.0,1310000.0,14,2,0,366.6145040758801,1708.0104047710633,3181.453720624202,16,366.6145040758801,2
6313,23643,0.0,0.0,Taman Alam Kemuning,Selangor,Klang,292.0,1350000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6314,23433,3.046831,101.463681,"Taman Aman, Klang",Selangor,Klang,230.5,322500.0,35,7,9,297.9026982842468,1420.0907334223857,1545.19023578356,51,297.9026982842468,2
6315,23735,2.9683387,101.5475335,Taman Andaman,Selangor,Shah Alam,234.0,328000.0,3,0,0,1868.3276742123269,4514.309977006063,3786.152277246529,3,1868.3276742123269,2
6316,11961,2.97648,101.820999,Taman Anggerik Villa,Selangor,Semenyih,109.0,835000.0,11,0,1,745.4113282993039,3459.6664227105693,2863.377041518171,12,745.4113282993039,2
6317,28459,0.0,0.0,Taman Angsana,Selangor,Klang,247.5,322500.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6318,23038,3.5608422,101.6449804,Taman Arif Utama,Selangor,Kuala Kubu Baru,99.5,119000.0,11,1,1,303.592038043579,1521.5686340821383,984.7319865801694,13,303.592038043579,2
6319,28361,0.0,0.0,"Taman Bahagia, Bukit Naga",Selangor,Klang,277.5,362500.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6320,27307,3.0713963,101.4028312,Taman Baiduri,Selangor,Kapar,193.0,285000.0,6,0,2,863.7265334925975,4725.205845626761,3888.203449457173,8,863.7265334925975,2
6321,23456,2.8004647,101.4905771,"Taman Baiduri, Meru",Selangor,Banting,166.0,289000.0,6,0,1,1112.8036114919298,19824.781416201567,496.2509436861797,7,496.2509436861797,2
6322,23969,3.7630924,100.9812547,"Taman Baiduri, Sabak Bernam",Selangor,Sabak Bernam,206.0,288800.0,9,0,1,499.920104472146,60261.929714985956,936.8053540877779,10,499.920104472146,2
6323,12001,2.89795,101.779999,Taman Bangi Villa,Selangor,Bangi,125.0,712500.0,8,1,2,662.6944687916647,966.5989094435076,7425.6506707126,11,662.6944687916647,2
6324,27205,0.0,0.0,Taman Batu,Selangor,Gombak,186.0,375000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6325,23868,0.0,0.0,Taman Batu Hampar,Selangor,Kuala Selangor,95.0,100000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6326,23836,0.0,0.0,Taman Berjuntai Emas,Selangor,Batang Berjuntai,115.0,150000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6327,23740,2.9817256,101.7914808,Taman Bukit Kajang,Selangor,Kajang,237.0,1265000.0,31,4,4,209.76228316227608,167.48320151500016,641.4486288612236,39,167.48320151500016,2
6328,22653,3.2112839,101.7638831,Taman Bukit Kemensah Indah,Selangor,Taman Melawati,249.0,257500.0,21,0,2,1230.5969288657716,3244.0278436148133,2448.1907583814927,23,1230.5969288657716,2
6329,16782,0.0,0.0,Taman Bukit Permai Mas,Selangor,Cheras,239.5,620000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6330,22656,3.3324936,101.5804503,Taman Bukit Rawang Jaya II,Selangor,Rawang,113.0,105000.0,9,1,3,399.80906312070425,1605.2779164876108,1318.894798507487,13,399.80906312070425,2
6331,23541,3.0148609,101.5284134,Taman Bunga Indah,Selangor,Shah Alam,202.0,400000.0,13,0,2,233.47607292043244,4605.082157790968,1963.2652747185928,15,233.47607292043244,2
6332,23702,0.0,0.0,Taman Bunga Kenanga Indah,Selangor,Klang,338.5,465000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6333,23024,3.377959,101.3889064,Taman Cahaya Indah,Selangor,Batang Berjuntai,66.0,117500.0,6,0,0,1191.9967110943833,21649.03367255437,14320.982102799555,6,1191.9967110943833,2
6334,27284,3.0343959,101.3990745,"Taman Dahlia, kampung Delek Kanan",Selangor,Klang,102.5,200000.0,10,3,1,2095.305915283232,1997.0550004630406,3149.18232527985,14,1997.0550004630406,2
6335,16706,3.7731651,100.9915272,"Taman Damai, Sabak Bernam",Selangor,Sabak Bernam,107.0,142000.0,8,0,1,494.11815155291407,59306.691769470934,1489.636491111697,9,494.11815155291407,2
6336,26550,2.9428411,101.8390811,Taman Desa Anggerik,Selangor,Semenyih,168.5,277500.0,10,0,1,931.8321472735728,5727.101941580621,6187.803925683499,11,931.8321472735728,2
6337,23648,0.0,0.0,"Taman Desa Indah, Sungai Besar",Selangor,Sungai Besar,213.0,367500.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6338,23806,2.7967037,101.7232173,Taman Desa Salak Jaya,Selangor,Sepang,275.0,355000.0,7,0,1,662.2088239278623,3384.5103791182846,5795.925784391032,8,662.2088239278623,2
6339,23622,3.1160557,101.8114365,Taman Desa Saujana Langat,Selangor,Hulu Langat,345.5,490000.0,6,0,0,295.89563810750946,6584.27076338467,5510.138510398952,6,295.89563810750946,2
6340,29223,3.3431822,101.5555083,Taman Garing Gemilang,Selangor,Rawang,318.5,508000.0,3,0,0,2406.124449124615,3407.581353548672,3607.8226028484714,3,2406.124449124615,2
6341,23650,3.326065,101.571459,Taman Good Luck,Selangor,Rawang,90.0,200000.0,8,1,3,972.6852472274717,844.618334884196,1029.002066285619,12,844.618334884196,2
6342,28323,0.0,0.0,Taman Haji Hamzah,Selangor,Klang,115.0,137500.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6343,23244,0.0,0.0,Taman Haji Ismail,Selangor,Klang,150.5,525000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6344,12342,3.13771,101.775002,Taman Halaman,Selangor,Ampang,442.0,700000.0,22,3,3,753.0377327539761,1879.5101061812097,1495.7365638978497,28,753.0377327539761,2
6345,27365,2.9805831,101.788511,Taman Hijau,Selangor,Kajang,122.5,550000.0,31,4,4,484.64020765180396,342.4774956611628,831.2769322084021,39,342.4774956611628,2
6346,12354,3.17996,101.760002,Taman Hillview,Selangor,Ulu Kelang,320.5,3765000.0,30,1,3,742.0228547320306,2743.8426771268846,2413.6828549238976,34,742.0228547320306,2
6347,28394,0.0,0.0,Taman Ilmu Unisel,Selangor,Batang Berjuntai,137.5,192500.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6348,28324,0.0,0.0,Taman Iskandar,Selangor,Klang,118.5,130000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6349,23720,2.8603704,101.6709169,Taman Jed,Selangor,Dengkil,204.0,460000.0,6,0,0,549.183491882692,6063.884966014274,12569.045792453493,6,549.183491882692,2
6350,23495,2.8882922,101.7151178,Taman Jenderam Permai,Selangor,Dengkil,380.0,580000.0,4,0,1,888.9545688658733,6816.948798795997,9028.670192776815,5,888.9545688658733,2
6351,13960,0.0,0.0,Taman Juta Permai,Selangor,Subang,366.5,580000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6352,23550,3.13709,101.378165,Taman Kapar,Selangor,Kapar,59.5,120000.0,7,0,0,212.29694463348176,11081.984686918446,4474.975154218731,7,212.29694463348176,2
6353,23251,0.0,0.0,Taman Klang Mas,Selangor,Klang,242.0,384000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6354,28244,0.0,0.0,Taman Koperasi Wanijaya,Selangor,Klang,200.5,225000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6355,28247,0.0,0.0,Taman Kota Raja,Selangor,Klang,352.0,475000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6356,28248,0.0,0.0,Taman Kris Emas,Selangor,,157.0,250000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6357,22731,3.0284331,101.7731085,Taman Kurnia Indah,Selangor,Kajang,253.5,697500.0,17,3,5,484.3193974629226,323.2198219871284,1180.421586787935,25,323.2198219871284,2
6358,22737,3.0482824,101.7904331,Taman Mahkota Mutiara,Selangor,Cheras South,375.0,1042500.0,14,3,2,401.4476205049801,1711.243957517536,1091.764633766752,19,401.4476205049801,2
6359,12556,3.336001,101.248801,Taman Malawati,Selangor,Kuala Selangor,75.5,216090.0,12,0,0,751.2015474627405,35074.48876626992,3785.501088071253,12,751.2015474627405,2
6360,28406,0.0,0.0,Taman Malim Mas,Selangor,Hulu Selangor,161.5,210000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6361,28407,3.2242773,101.7027269,Taman Melewar Indah,Selangor,Gombak,280.0,1000000.0,33,3,0,827.0231068720158,2179.2952938971816,3115.2179073172074,36,827.0231068720158,1
6362,23409,3.3601002,101.3031436,Taman Melor Jaya,Selangor,Kuala Selangor,123.5,192500.0,3,0,1,170.61434573229855,30150.35319345688,5783.26341349679,4,170.61434573229855,2
6363,28408,2.9628129,101.8503372,Taman Mentari,Selangor,Semenyih,193.0,635000.0,7,0,1,1092.426439490902,7009.026244250587,6330.545471005162,8,1092.426439490902,2
6364,23770,3.1345936,101.4411328,Taman Meru I,Selangor,Klang,145.5,215000.0,5,0,1,247.0156453292568,7397.728811160667,8133.6991038242595,6,247.0156453292568,2
6365,12624,3.13002,101.432999,Taman Meru Makmur 1,Selangor,Klang,109.5,340000.0,6,0,1,909.911292652979,7094.374991914834,7098.378077820661,7,909.911292652979,2
6366,28590,0.0,0.0,Taman Meru Sejahtera,Selangor,Klang,178.0,360000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6367,23647,0.0,0.0,"Taman Mesra, Kanchong Darat",Selangor,Banting,165.0,300000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6368,23429,0.0,0.0,Taman Mewah Indah,Selangor,Kajang,104.0,56000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,1
6369,22791,3.0261165,101.481694,"Taman Mutu, Shah Alam",Selangor,Shah Alam,230.5,300000.0,8,1,3,657.3914762732285,1662.8360656085574,2259.07396275576,12,657.3914762732285,2
6370,22647,2.8276328,101.5164158,"Taman Nilam, Teluk Bunut",Selangor,Banting,326.5,425000.0,13,0,3,682.0471542755233,17702.643428612246,1758.6382728063695,16,682.0471542755233,2
