name,sub_type,category,line_name,type,latitude,longitude
Sekolah Kebangsaan Mubok Berawan,primary,education,,Public School,1.26,110.52
Sekolah Kebangsaan Plaman Baki / Menaul,primary,education,,Public School,1.260617,110.52362
Sekolah Kebangsaan St Ambrose Panchor,primary,education,,Public School,1.254256,110.45966999999999
Sekolah Kebangsaan Pelaman Sidunuk,primary,education,,Public School,1.214328,110.52263300000001
Sekolah Kebangsaan St Swithun,primary,education,,Public School,1.214328,110.52263300000001
Sekolah Kebangsaan Tarat,primary,education,,Public School,1.214328,110.52263300000001
Sekolah Kebangsaan Engkaroh,primary,education,,Public School,1.2025709999999998,110.511131
Sekolah Kebangsaan Subang,primary,education,,Public School,1.291899,110.41518300000001
Sekolah Jenis Kebangsaan (Cina) Tapah,primary,education,,Public School,1.2965959999999999,110.412415
Sekolah Kebangsaan St Matthew,primary,education,,Public School,1.290052,110.404559
Sekolah Menengah Kebangsaan Tun Abdul Razak,secondary,education,,Public School,1.277741,110.421503
Sekolah Kebangsaan Sg Kenyah,primary,education,,Public School,1.27704,110.42193200000001
Sekolah Jenis Kebangsaan (Cina) Beratok,primary,education,,Public School,1.311859,110.40773
Sekolah Kebangsaan St Dunstan,primary,education,,Public School,1.2646608999999998,110.41388159999998
Sekolah Kebangsaan Rituh,primary,education,,Public School,1.2816809999999998,110.442225
Sekolah Kebangsaan Patung,primary,education,,Public School,1.33,110.39
Sekolah Kebangsaan St Elizabeth,primary,education,,Public School,1.341731,110.396475
Sekolah Jenis Kebangsaan (Cina) Ken Boon,primary,education,,Public School,1.32514,103.44365
Sekolah Jenis Kebangsaan (Cina) Chi Mang,primary,education,,Public School,1.332117095,103.4419978
Sekolah Jenis Kebangsaan (Cina) Pei Chiao,primary,education,,Public School,1.333023436,103.4555483
Sekolah Kebangsaan Sungai Durian,primary,education,,Public School,1.337581953,103.45966820000001
Sekolah Menengah Kebangsaan Sri Kukup,secondary,education,,Public School,1.34296421,103.4616637
Sekolah Kebangsaan Andek Mori,primary,education,,Public School,1.307315924,103.4848246
Sekolah Kebangsaan Permas Kelapa,primary,education,,Public School,1.360216205,103.4797418
Klinik Desa Kukup Laut,clinic,healthcare,,Government,1.32778,103.44673
Klinik Desa Permas,clinic,healthcare,,Government,1.33619,103.45974
Sekolah Menengah Kebangsaan Siburan,secondary,education,,Public School,1.3669280000000001,110.39811399999999
Sekolah Jenis Kebangsaan (Cina) Chung Hua Siburan,primary,education,,Public School,1.3669280000000001,110.39811399999999
Sekolah Kebangsaan St Alban Duras,primary,education,,Public School,1.358516,110.38456299999999
Sekolah Kebangsaan St Francis Xavier Seratau,primary,education,,Public School,1.380822,110.375161
Sekolah Kebangsaan St James Quop,primary,education,,Public School,1.407197,110.364752
Sekolah Menengah Kebangsaan Kompleks Sultan Abu Bakar,secondary,education,,Public School,1.3842821269999999,103.5991725
Sekolah Kebangsaan Kompleks Sultan Abu Bakar,cluster,education,,Public School,1.3860143280000001,103.5971099
Sekolah Kebangsaan Morni Pok,primary,education,,Public School,1.35992929,103.58787240000001
Sekolah Kebangsaan Tiram Duku,primary,education,,Public School,1.381466628,103.56585679999999
Sekolah Kebangsaan Tg Kupang,primary,education,,Public School,1.360079451,103.6124253
Sekolah Menengah Kebangsaan Tanjung Adang,secondary,education,,Public School,1.3555,103.5657
Sekolah Kebangsaan Tanjong Adang,primary,education,,Public School,1.35451811,103.56507359999999
